Nº de producto;Estado;Disponible para la venta;Disponible para la compra;Disponible para integrar otros productos;Compuesto por otros productos;Rubro;Nombre;Código;Código universal de producto (UPC);Código de proveedor;Stock actual;Stock ideal;Stock mínimo;Unidad;Alicuota de IVA;Proveedor;Moneda costo;Costo ($);Utilidad (%);Precio ($);Precio Final ($);Controla stock;Stock negativo;Mostrar en tienda;Nº de publicación en MercadoLibre;Nº de publicación adicional en MercadoLibre;Descripción;Descripción para la tienda;Observaciones Internas;
2;Habilitado;SI;SI;NO;NO;Sin especificar;productos prueba;'pp;'';'';9,000;0,000;0,000;unidad;21%;Sin especificar;Pesos;5,60;50,00;8,40;10,16;SI;SI;NO;0;0;
92;Habilitado;SI;SI;NO;NO;Unical base blanca Matte 80mic;IMPRESION UNICAL BASE BLANCA MATTE 152CM X 50MTS 80MIC ;'VUM152;'';''VUM152;0,000;0,000;0,000;unidad;21%;DIGRAFICA SRL;Pesos;120597,71;23,00;148335,18;179485,57;SI;SI;NO;0;0;;;<p>actualización precios costo y venta 9/06/21. Costo usd 1.505 + Iva. PV Usd 1.90 + Iva m2<br></p>;
93;Habilitado;SI;SI;NO;NO;Unical Base Gris Brillante 100mic;IMPRESION UNICAL BASE GRIS BRILLANTE 100MIC 107CM X 50MTS ;'VUBG107;'';''VUBG107;-1,000;0,000;0,000;unidad;21%;DIGRAFICA SRL;Pesos;117086,36;23,00;144016,22;174259,63;SI;SI;NO;0;0;;;<p>Actualizado dia 9/06/2021 precio costo USD 1.534 + Iva/ precio venta Usd 1.99 + Iva m2</p>;
94;Habilitado;SI;SI;NO;NO;Unical Base Gris Brillante 100mic;IMPRESION UNICAL BASE GRIS BRILLANTE 100MIC 127CM X 50MTS ;'VUBG127;'';''VUBG127;-2,000;0,000;0,000;unidad;21%;DIGRAFICA SRL;Pesos;138972,91;23,00;170936,68;206833,38;SI;SI;NO;0;0;;;<p>Actualizado dia 9/06/2021 precio costo USD 1.534 + Iva/ precio venta Usd 1.99 + Iva m2<br></p>;
95;Habilitado;SI;SI;NO;NO;Unical Base Gris Brillante 100mic;IMPRESION UNICAL BASE GRIS BRILLANTE 100MIC 137CM X 50MTS ;'VUBG137;'';''VUBG137;-1,000;0,000;0,000;unidad;21%;DIGRAFICA SRL;Pesos;137421,17;23,00;169028,04;204523,93;SI;SI;NO;0;0;;;<p>Actualizado dia 9/06/2021 precio costo USD 1.534 + Iva/ precio venta Usd 1.99 + Iva m2<br></p>;
96;Habilitado;SI;SI;NO;NO;Unical Base Gris Brillante 100mic;IMPRESION UNICAL BASE GRIS BRILLANTE 100MIC 152CM X 50MTS ;'VUBG152;'';''VUBG152;-12,000;0,000;0,000;unidad;21%;DIGRAFICA SRL;Pesos;166331,09;23,00;204587,24;247550,56;SI;SI;NO;0;0;;;<p>Actualizado dia 9/06/2021 precio costo USD 1.534 + Iva/ precio venta Usd 1.99 + Iva m2<br></p>;
97;Habilitado;SI;SI;NO;NO;Unical Base blanca Matte 100mic;IMPRESION UNICAL BASE BLANCA MATE 100MIC 107CM X 50MTS ;'VUBBM107;'';''VUBBM107;0,000;0,000;0,000;unidad;21%;DIGRAFICA SRL;Pesos;107336,23;23,00;132023,56;159748,51;SI;SI;NO;0;0;;;<p>Actualizado dia 9/06/2021 precio costo USD 1.534 + Iva/ precio venta Usd 1.99 + Iva m2<br></p>;
98;Habilitado;SI;SI;NO;NO;Unical Base blanca Matte 100mic;IMPRESION UNICAL BASE BLANCA MATTE 100MIC 127CM X 50MTS;'VUBBM127;'';''VUBBM127;0,000;0,000;0,000;unidad;21%;DIGRAFICA SRL;Pesos;127398,91;23,00;156700,66;189607,80;SI;SI;NO;0;0;;;<p>Actualizado dia 9/06/2021 precio costo USD 1.534 + Iva/ precio venta Usd 1.99 + Iva m2<br></p>;
99;Habilitado;SI;SI;NO;NO;Unical Base blanca Matte 100mic;IMPRESION UNICAL BASE BLANCA MATTE 100MIC 137CM X 50MTS ;'VUBBM137;'';''VUBBM137;-1,000;0,000;0,000;unidad;21%;DIGRAFICA SRL;Pesos;137421,75;23,00;169028,75;204524,79;SI;SI;NO;0;0;;;<p>Actualizado dia 9/06/2021 precio costo USD 1.534 + Iva/ precio venta Usd 1.99 + Iva m2<br></p>;
100;Habilitado;SI;SI;NO;NO;Unical Base blanca Matte 100mic;IMPRESION UNICAL BASE BLANCA MATTE 100MIC 152CM X 50MTS ;'VUBBM152;'';''VUBBM152;0,000;0,000;0,000;unidad;21%;DIGRAFICA SRL;Pesos;152473,02;23,00;187541,81;226925,59;SI;SI;NO;0;0;;;<p>Actualizado dia 9/06/2021 precio costo USD 1.534 + Iva/ precio venta Usd 1.99 + Iva m2<br></p>;
101;Habilitado;SI;SI;NO;NO;04 Vinilo de corte e impresion Oracal 5200;ORALITE 5200-10 BLANCO 122CM ;'520010;'';''520010;0,000;0,000;0,000;metro;21%;Insugraf;Pesos;34390,28;30,00;44707,36;54095,91;SI;SI;NO;0;0;
102;Habilitado;SI;SI;NO;NO;04 Vinilo de corte e impresion Oracal 5200;ORALITE 5200-10 BLANCO 61CM ;'520010-61;'';''520010-61;-21,700;50,000;25,000;metro;21%;Insugraf;Pesos;17195,15;30,00;22353,70;27047,98;SI;SI;NO;0;0;
103;Habilitado;SI;SI;NO;NO;04 Vinilo de corte e impresion Oracal 5200;ORALITE 5200-20 AMARILLO 122CM  ;'520020;'';''520020;0,000;0,000;0,000;metro;21%;Insugraf;Pesos;34390,28;30,00;44707,36;54095,91;SI;SI;NO;0;0;
104;Habilitado;SI;SI;NO;NO;04 Vinilo de corte e impresion Oracal 5200;ORALITE 5200-20 AMARILLO 61CM ;'520020-61;'';''520020-61;-11,000;0,000;0,000;metro;21%;Insugraf;Pesos;17195,15;30,00;22353,70;27047,98;SI;SI;NO;0;0;
105;Habilitado;SI;SI;NO;NO;04 Vinilo de corte e impresion Oracal 5200;ORALITE 5200-30 ROJO 122CM  ;'520030;'';''520030;-1,000;0,000;0,000;metro;21%;Insugraf;Pesos;34390,28;30,00;44707,36;54095,91;SI;SI;NO;0;0;
106;Habilitado;SI;SI;NO;NO;04 Vinilo de corte e impresion Oracal 5200;ORALITE 5200-30 ROJO 61CM  ;'520030-61;'';''520030-61;2,200;0,000;0,000;metro;21%;Insugraf;Pesos;17195,15;30,00;22353,70;27047,98;SI;SI;NO;0;0;
107;Habilitado;SI;SI;NO;NO;04 Vinilo de corte e impresion Oracal 5200;ORALITE 5200 NARANJA 122CM  ;'520035;'';''520035;0,000;0,000;0,000;metro;21%;Insugraf;Pesos;34390,28;30,00;44707,36;54095,91;SI;SI;NO;0;0;
108;Habilitado;SI;SI;NO;NO;04 Vinilo de corte e impresion Oracal 5200;ORALITE 5200-NARANJA 61CM  ;'520035-61;'';''520035-61;-5,700;0,000;0,000;metro;21%;Insugraf;Pesos;17195,15;30,00;22353,70;27047,98;SI;SI;NO;0;0;
109;Habilitado;SI;SI;NO;NO;04 Vinilo de corte e impresion Oracal 5200;ORALITE 5200-49 AZUL 122CM  ;'520049;'';''520049;0,000;0,000;0,000;metro;21%;Insugraf;Pesos;34390,28;30,00;44707,36;54095,91;SI;SI;NO;0;0;
